Sno,Weight
0,-0.0056341942
1,-0.014410833
2,0.05324066
3,0.028675059
4,0.05618847
5,0.07009265
6,0.058534823
7,0.023942888
8,0.050993335
9,-0.0046206685
10,0.051697582
11,0.06828882
12,-0.003831346
13,0.05847589
14,-0.016223846
15,0.012170162
16,0.012084572
17,0.04594127
18,0.097392514
19,0.05923972
20,0.045436
21,0.06757083
22,0.076824486
23,0.068378724
24,0.062169064
25,-0.013019582
26,0.05255473
27,-0.0005923703
28,-0.0019247197
29,0.01526938
30,0.013245509
31,0.008434473
32,-0.013546733
33,0.052552246
34,-0.0005599591
35,0.05999384
36,0.06795928
37,0.08350021
38,0.022348523
39,0.027566254
40,0.073618695
41,0.0038579681
42,-0.004121618
43,0.07069373
44,0.014711013
45,0.08053292
46,0.05667809
47,-0.00044185284
48,0.028403116
49,-0.018837966
50,0.0801278
51,-0.018386412
52,-0.016726524
53,0.020614486
54,0.06972239
55,0.07733715
56,0.019351346
57,0.014205483
58,0.0771522
59,0.04719557
60,-0.0005903786
61,-0.00480231
62,-0.019105649
63,-0.0066447677
64,-0.0074696504
65,0.041429847
66,0.050348736
67,-0.008792569
68,0.052035876
69,0.05209567
70,0.027709793
71,0.04339316
72,0.07268984
73,0.07217296
74,-0.01053645
75,0.02483069
76,0.07134695
77,0.0487423
78,-0.0074580116
79,-0.015595442
80,0.02186731
81,0.062042724
82,0.04779428
83,0.05840332
84,0.004239372
85,0.01579219
86,0.004198191
87,0.04579847
88,0.03205125
89,0.0489108
90,0.07062969
91,0.055130124
92,0.07705097
93,0.08333551
94,0.03239098
95,-0.009332401
96,0.065559514
97,0.073410556
98,-0.01096058
99,0.02571954
100,-0.015676701
101,-0.010802459
102,-0.024734534
103,0.04445352
104,0.051713374
105,0.02412929
106,-0.019151235
107,0.06942311
108,0.022572838
109,-0.007854564
110,0.06275452
111,0.022796135
112,-0.012674631
113,0.005094547
114,0.011073553
115,-0.008138044
116,0.08046989
117,-0.003580549
118,0.031358577
119,-0.0010930995
120,0.021440037
121,0.05394329
122,0.08004883
123,-0.0046618087
124,-0.00609251
125,0.038278222
126,0.080199145
127,0.01333624
128,0.06308732
129,0.034150656
130,0.052584898
131,0.0059332326
132,0.036218736
133,0.017426927
134,0.064491965
135,0.055214684
136,-0.013009848
137,0.04858186
138,0.04006542
139,-0.020035772
140,0.056796897
141,0.08108807
142,-0.020075725
143,-0.009490228
144,0.056099847
145,-0.008362894
146,0.025238309
147,0.07490462
148,0.046360448
149,0.03497782
150,0.025131585
151,0.02880905
152,-0.008680091
153,0.06040738
154,0.015235232
155,0.01231298
156,0.0027574406
157,-0.0032194504
158,-0.0006570375
159,-0.00092778483
160,-0.0008142488
161,0.06260404
162,0.0036582171
163,0.073513515
164,-0.0077780327
165,0.03350832
166,0.063867666
167,0.069336526
168,0.00877467
169,0.04020246
170,0.009695507
171,0.00084958185
172,0.026147982
173,0.04119277
174,0.040289108
175,0.06623428
176,0.0013199528
177,-0.012950929
178,0.058165807
179,0.013930776
180,0.058809903
181,0.072201416
182,0.04876781
183,0.06992454
184,0.040293396
185,0.003998657
186,-0.0025052186
187,0.028231949
188,0.022745196
189,0.06634307
190,0.05788944
191,0.01698669
192,-0.005677009
193,0.05260475
194,0.06542669
195,0.047999576
196,-0.010694551
197,0.03328373
198,0.015970284
199,0.013264645
200,0.05971561
201,0.072235756
202,0.0026931432
203,0.02245684
204,0.039594557
205,0.004096341
206,0.07980409
207,0.032270014
208,0.04547461
209,0.010063971
210,0.0072165756
211,0.011616742
212,0.0077162366
213,0.041941404
214,0.03936299
215,0.05948773
216,0.028398512
217,0.04805635
218,0.055660147
219,0.018750532
220,0.045457534
221,0.0024372013
222,0.06325398
223,0.0670215
224,0.002371877
225,0.024192087
226,-0.0004752708
227,0.0782467
228,0.038451094
229,-0.01003292
230,0.037864782
231,0.05548946
232,0.06266205
233,-0.011419458
234,0.023964722
235,-0.010758024
236,-0.010439132
237,0.017939927
238,-0.018730834
239,0.01249301
240,-0.0066013164
241,0.068024896
242,0.015892373
243,0.030554326
244,0.05738291
245,-0.016866937
246,0.06587318
247,0.04614376
248,0.07312487
249,0.01883064
250,0.04575529
251,0.00013432917
252,0.01721614
253,0.075316034
254,-0.011928478
255,0.03897233
